time,airtime,channel,co2,coding_rate,data_rate,dev_id,frequency,gtw_id,humidity,latitude,longitude,modulation,pm10,pm25,rssi,snr,temp,timestamp
2020-01-28T02:55:28.983734565Z,205824000,6,660,4/5,SF9BW125,sbox3,905.1,sds-gateway-3,50.93,38.026337,-78.50461,LORA,0,0,-55,12.75,19.29,3642397628
2020-01-28T03:10:28.924679625Z,205824000,7,724,4/5,SF9BW125,sbox3,905.3,sds-gateway-3,52.81,38.026337,-78.50461,LORA,0,0,-58,11.75,19.36,819007612
2020-01-28T03:25:28.765657517Z,71936000,5,790,4/5,SF7BW125,sbox3,904.9,sds-gateway-3,52.45,38.026337,-78.50461,LORA,0,0,-51,9.5,19.47,1718858860
2020-01-28T03:40:28.796397912Z,61696000,0,818,4/5,SF7BW125,sbox3,903.9,sds-gateway-3,51.98,38.026337,-78.50461,LORA,0,0,-59,10.25,19.58,2618834899
2020-01-28T03:55:28.737720827Z,61696000,1,941,4/5,SF7BW125,sbox3,904.1,sds-gateway-3,52.22,38.026337,-78.50461,LORA,0,0,-58,10.25,19.58,3518820891
2020-01-28T04:10:28.778102592Z,61696000,0,1326,4/5,SF7BW125,sbox3,903.9,sds-gateway-3,49.28,38.026337,-78.50461,LORA,0,0,-57,11.25,20.55,123838699
2020-01-28T04:25:28.709231065Z,61696000,6,1302,4/5,SF7BW125,sbox3,905.1,sds-gateway-3,50.24,38.026337,-78.50461,LORA,0,0,-61,10,20.52,1023824604
2020-01-28T04:40:28.747843621Z,61696000,5,1286,4/5,SF7BW125,sbox3,904.9,sds-gateway-3,50.35,38.026337,-78.50461,LORA,0,0,-61,9.25,20.62,1923809924
2020-01-28T04:55:28.686528033Z,61696000,7,1270,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,50.06,38.026337,-78.50461,LORA,0,0,-63,10.5,20.62,2823795276
2020-01-28T05:10:28.713337324Z,61696000,4,1268,4/5,SF7BW125,sbox3,904.7,sds-gateway-3,49.9,38.026337,-78.50461,LORA,0,0,-60,9.75,20.71,3723780587
2020-01-28T05:25:28.652877953Z,61696000,6,1265,4/5,SF7BW125,sbox3,905.1,sds-gateway-3,49.75,38.026337,-78.50461,LORA,0,0,-59,9.25,20.75,328799004
2020-01-28T05:40:28.682884332Z,61696000,2,1256,4/5,SF7BW125,sbox3,904.3,sds-gateway-3,49.63,38.026337,-78.50461,LORA,0,0,-58,7.5,20.81,1228783571
2020-01-28T05:55:28.620985543Z,61696000,7,1256,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,49.76,38.026337,-78.50461,LORA,0,0,-61,11,20.84,2128769092
