time,airtime,channel,co2,data_rate,dev_id,frequency,gtw_id,humidity,latitude,longitude,pm10,pm25,rssi,snr,temp,timestamp
2020-02-03T00:36:03.779007152Z,61696000,3,144,SF7BW125,sbox6,904.5,sds-gateway-3,62.89,38.026337,-78.50461,0,0,-14,9,12.52,436649083
2020-02-03T00:39:38.171639705Z,113152000,0,567,SF8BW125,sbox11,903.9,sds-gateway-1,58,38.030388,-78.484,0,0,-61,11.25,19.44,3469473980
2020-02-03T00:39:57.440747505Z,61696000,7,491,SF7BW125,sbox10,905.3,center-for-civic-innovation,51.67,38.030693,-78.47908,1,1,-69,10.5,16.99,1376187548
2020-02-03T00:40:39.755830804Z,113152000,7,1247,SF8BW125,sbox3,905.3,sds-gateway-1,37.97,38.030388,-78.484,0,0,-60,12.25,19.29,3531100124
2020-02-03T00:41:41.14526192Z,61696000,0,365,SF7BW125,sbox4,903.9,sds-alex-apt,43.69,38.027557,-78.51521,0,0,-45,8.5,17.36,871364563
2020-02-03T00:42:05.292932464Z,61696000,2,913,SF7BW125,sbox2,904.3,sds-gateway-1,47.21,38.030388,-78.484,0,0,-55,7.75,19.58,3616674451
2020-02-03T00:47:37.252947645Z,61696000,5,794,SF7BW125,sbox8,904.9,sds-gateway-1,51.62,38.030388,-78.484,0,0,-60,9.25,19.59,3948701220
2020-02-03T00:50:17.975415875Z,61696000,4,385,SF7BW125,sbox9,904.7,sds-gateway-1,50.03,38.030388,-78.484,0,0,-72,10,19.28,4109377491
2020-02-03T00:50:38.597505694Z,61696000,3,584,SF7BW125,sbox7,904.5,sds-gateway-1,36.79,38.030388,-78.484,0,0,-47,9,19.48,4130062747
2020-02-03T00:51:03.80460907Z,61696000,7,140,SF7BW125,sbox6,905.3,sds-gateway-3,62.82,38.026337,-78.50461,0,0,-15,9,12.82,1336639972
2020-02-03T00:54:38.936284266Z,113152000,4,565,SF8BW125,sbox11,904.7,sds-gateway-1,57.54,38.030388,-78.484,87,75,-61,11.25,19.48,75415852
2020-02-03T00:54:57.425464663Z,61696000,0,553,SF7BW125,sbox10,903.9,center-for-civic-innovation,50.38,38.030693,-78.47908,0,0,-66,9.75,17.34,2276180635
2020-02-03T00:55:39.615441148Z,113152000,0,1131,SF8BW125,sbox3,903.9,sds-gateway-1,38.34,38.030388,-78.484,0,0,-63,11.75,19.33,136119132
2020-02-03T00:56:41.287298723Z,61696000,7,376,SF7BW125,sbox4,905.3,sds-alex-apt,40.54,38.027557,-78.51521,0,0,-45,9.25,17.93,1771347132
2020-02-03T00:57:05.322507183Z,61696000,1,907,SF7BW125,sbox2,904.1,sds-gateway-1,45.98,38.030388,-78.484,0,0,-57,9.5,19.67,221694083
2020-02-03T01:02:37.297507097Z,61696000,6,790,SF7BW125,sbox8,905.1,sds-gateway-1,50.99,38.030388,-78.484,0,0,-61,10.75,19.87,553710548
2020-02-03T01:05:17.920531568Z,61696000,5,398,SF7BW125,sbox9,904.9,sds-gateway-1,49.96,38.030388,-78.484,0,0,-52,10.25,19.6,714395460
2020-02-03T01:05:38.57407997Z,61696000,2,585,SF7BW125,sbox7,904.3,center-for-civic-innovation,37.21,38.030693,-78.47908,1,1,-114,-4.75,20.04,2917407131
2020-02-03T01:06:04.829307469Z,61696000,5,149,SF7BW125,sbox6,904.9,sds-gateway-3,62.14,38.026337,-78.50461,0,0,-15,10.75,13.17,2237630100
2020-02-03T01:09:37.977429403Z,113152000,5,569,SF8BW125,sbox11,904.9,sds-gateway-1,57.18,38.030388,-78.484,10,10,-53,10.75,20.45,974475804
2020-02-03T01:09:57.430965089Z,61696000,2,607,SF7BW125,sbox10,904.3,center-for-civic-innovation,48.3,38.030693,-78.47908,1,1,-67,8,17.5,3176173275
2020-02-03T01:10:39.660017577Z,113152000,3,1131,SF8BW125,sbox3,904.5,sds-gateway-1,37.63,38.030388,-78.484,0,0,-51,12,20.4,1036104556
2020-02-03T01:11:41.162158094Z,61696000,4,364,SF7BW125,sbox4,904.7,sds-alex-apt,42.04,38.027557,-78.51521,0,0,-43,8.75,18.35,2671329627
2020-02-03T01:12:05.196707162Z,61696000,6,937,SF7BW125,sbox2,905.1,sds-gateway-1,47.66,38.030388,-78.484,37,34,-57,9,21.04,1121681804
