date, pm25, pm10, o3, no2, so2, co
2020/3/2, 29, 26, 30, 13, 2, 
2020/3/3, 25, 17, 21, 21, 1, 
2020/3/4, 47, 14, 24, 17, 2, 
2020/3/5, 38, 15, 33, 17, 2, 
2020/3/6, 38, 9, 32, 17, 2, 
2020/3/7, 23, 13, 31, 21, 2, 
2020/3/8, 32, 16, 25, 22, 3, 
2020/3/9, 48, 14, 31, 24, 3, 
2020/3/10, 37, 13, 27, 17, 3, 
2020/3/11, 36, 32, 20, 28, 3, 
2020/3/12, 59, 36, 22, 35, 3, 
2020/3/13, 64, 29, 32, 27, 2, 
2020/3/14, 64, 21, 38, 13, 3, 
2020/3/15, 60, 20, 33, 11, 2, 
2020/3/16, 56, 10, 26, 12, 2, 
2020/3/17, 39, 12, 31, 14, 2, 
2020/3/18, 46, 26, 23, 18, 3, 
2020/3/19, 59, 27, 33, 14, 1, 
2020/3/20, 57, 35, 29, 9, 1, 
2020/3/21, 56, 16, 28, 9, 1, 
2020/3/22, 43, 9, 31, 6, 2, 
2020/3/23, 29, 9, 28, 14, 2, 
2020/3/24, 33, 13, 27, 10, 2, 
2020/3/25, 36, 17, 32, 10, 2, 
2020/3/26, 48, 14, 35, 16, 3, 
2020/3/27, 43, 15, 32, 6, 1, 
2020/3/28, 51, , , , , 
2020/2/2, 41, 19, 11, 19, 1, 
2020/2/3, 59, 42, 10, 26, 6, 
2020/2/4, 81, 50, 9, 33, 9, 
2020/2/5, 94, 14, 24, 31, 4, 
2020/2/6, 34, 27, 15, 32, 3, 
2020/2/7, 63, 31, 16, 30, 2, 
2020/2/8, 71, 37, 18, 28, 2, 
2020/2/9, 87, 26, 18, 23, 2, 
2020/2/10, 71, 27, 13, 29, 2, 
2020/2/11, 71, 39, 3, 27, 3, 
2020/2/12, 99, 38, 2, 25, 2, 
2020/2/13, 95, 28, 16, 22, 2, 
2020/2/14, 78, 30, 9, 26, 2, 
2020/2/15, 79, 34, 20, 26, 2, 
2020/2/16, 80, 28, 24, 24, 2, 
2020/2/17, 73, 21, 14, 23, 2, 
2020/2/18, 57, 17, 19, 25, 3, 
2020/2/19, 44, 21, 26, 29, 3, 
2020/2/20, 43, 33, 13, 41, 4, 
2020/2/21, 67, 30, 23, 41, 4, 
2020/2/22, 59, 34, 23, 43, 4, 
2020/2/23, 68, 30, 30, 34, 3, 
2020/2/24, 56, 33, 27, 39, 3, 
2020/2/25, 62, 31, 27, 36, 3, 
2020/2/26, 62, 15, 30, 19, 1, 
2020/2/27, 30, 65, 27, 22, 2, 
2020/2/28, 72, 65, 24, 32, 3, 
2020/2/29, 88, 47, 26, 18, 2, 
2020/3/1, 64, 28, 27, 10, 2, 
2020/1/2, 115, 36, 5, 35, 9, 
2020/1/3, 91, 50, 1, 39, 8, 
2020/1/4, 126, 15, 20, 21, 3, 
2020/1/5, 50, 19, 12, 29, 5, 
2020/1/6, 55, 29, 9, 34, 5, 
2020/1/7, 80, 44, 4, 50, 7, 
2020/1/8, 102, 51, 6, 62, 8, 
2020/1/9, 104, 41, 9, 49, 5, 
2020/1/10, 88, 23, 30, 28, 3, 
2020/1/11, 67, 14, 21, 28, 3, 
2020/1/12, 46, 35, 10, 39, 4, 
2020/1/13, 88, 38, 11, 44, 5, 
2020/1/14, 96, 39, 17, 39, 3, 
2020/1/15, 95, 36, 4, 41, 3, 
2020/1/16, 92, 41, 15, 36, 3, 
2020/1/17, 87, 20, 26, 25, 2, 
2020/1/18, 50, 15, 17, 27, 2, 
2020/1/19, 57, 19, 27, 16, 3, 
2020/1/20, 55, 13, 26, 18, 2, 
2020/1/21, 42, 10, 24, 17, 2, 
2020/1/22, 32, 23, 24, 24, 3, 
2020/1/23, 51, 52, 20, 25, 3, 
2020/1/24, 81, 37, 17, 24, 2, 
2020/1/25, 65, 24, 18, 21, 2, 
2020/1/26, 68, 19, 21, 21, 2, 
2020/1/27, 62, 21, 21, 25, 2, 
2020/1/28, 59, 14, 22, 17, 2, 
2020/1/29, 37, 16, 21, 17, 2, 
2020/1/30, 43, 16, 24, 20, 2, 
2020/1/31, 46, 14, 23, 19, 2, 
2020/2/1, 43, 13, 20, 14, 1, 
2019/10/2, 58, 20, 34, 17, 2, 
2019/10/3, 51, 17, 24, 33, 3, 
2019/10/4, 46, 24, 29, 38, 3, 
2019/10/5, 49, 24, 36, 26, 3, 
