date, pm25, o3, no2, so2, co
2019/1/2, 20, 10, 2, , 
2019/1/3, 22, 6, 3, , 
2019/1/4, 30, 4, 5, , 
2019/1/5, 31, 10, 2, , 
2019/1/6, 18, 12, 2, , 
2019/1/7, 24, 12, 2, , 
2019/1/8, 16, 11, 4, , 
2019/1/9, 22, 13, , , 
2019/1/10, 17, 11, 1, , 
2019/1/11, 21, 13, 2, , 
2019/1/12, 25, 12, 2, , 
2019/1/13, 37, 12, 2, , 
2019/1/14, 23, 11, 5, , 
2019/1/15, 41, 8, 3, , 
2019/1/16, 24, 11, 2, , 
2019/1/17, 19, 9, 3, , 
2019/1/18, 25, 8, 3, , 
2019/1/19, 26, 10, 2, , 
2019/1/20, 21, 14, 2, , 
2019/1/21, 20, 15, 1, , 
2019/1/22, 19, 14, 3, , 
2019/1/23, 22, 14, 2, , 
2019/1/24, 20, 13, 2, , 
2019/1/25, 16, 14, 1, , 
2019/1/26, 24, 14, 3, , 
2019/1/27, 23, 14, 3, , 
2019/1/28, 29, 15, 4, , 
2019/1/29, 26, 10, 2, , 
2019/1/30, 30, 15, 2, , 
2019/1/31, 20, 15, 2, , 
2019/2/1, 21, 8, 5, , 
2019/2/2, 37, 10, 3, , 
2019/2/3, 48, 14, 5, , 
2019/2/4, 45, 16, 6, , 
2019/2/5, 43, 16, 5, , 
2019/2/6, 35, 15, 7, , 
2019/2/7, 46, 8, 3, , 
2019/2/8, 37, 17, 1, , 
2019/2/9, 19, 15, 1, , 
2019/2/10, 21, 14, 2, , 
2019/2/11, 27, 11, 3, , 
2019/2/12, 30, 10, 2, , 
2019/2/13, 8, 16, 1, , 
2019/2/14, 15, 15, 2, , 
2019/2/15, 15, 16, 2, , 
2019/2/16, 29, 15, 1, , 
2019/2/17, 17, 12, 1, , 
2019/2/18, 27, 13, 1, , 
2019/2/19, 22, 16, 2, , 
2019/2/20, 28, 14, 1, , 
2019/2/21, 13, 9, 5, , 
2019/2/22, 22, 13, 3, , 
2019/2/23, 26, 15, , , 
2019/2/24, 15, 14, , , 
2019/2/25, 18, 18, , , 
2019/2/26, 17, 17, 2, , 
2019/2/27, 19, 16, 3, , 
2019/2/28, 29, 15, 2, , 
2019/3/1, 43, 14, 1, , 
2019/3/2, 20, 12, 2, , 
2019/3/3, 16, 13, 2, , 
2019/3/4, 27, 17, 1, , 
2019/3/5, 27, 16, 1, , 
2019/3/6, 18, 16, 1, , 
2019/3/7, 24, 17, 3, , 
