,co2,pm25,pm10,temp,humidity,latitude,longitude,dev_id,fdt
0,1247.0,0.0,0.0,19.29,37.97,38.030388,-78.484,3,2020-02-03 00:40:39.755830804+00:00
1,1131.0,,,19.33,38.34,38.030388,-78.484,3,2020-02-03 00:55:39.615441148+00:00
2,1131.0,,,20.4,37.63,38.030388,-78.484,3,2020-02-03 01:10:39.660017577+00:00
3,786.0,23.0,23.0,22.84,35.0,38.030388,-78.484,3,2020-02-03 01:37:25.883439234+00:00
4,785.0,30.0,33.0,22.94,35.39,38.030388,-78.484,3,2020-02-03 01:52:25.833415977+00:00
5,766.0,29.0,32.0,22.95,34.97,38.030388,-78.484,3,2020-02-03 02:07:25.773838065+00:00
6,755.0,31.0,37.0,22.44,35.16,38.030388,-78.484,3,2020-02-03 02:22:25.812558728+00:00
7,721.0,32.0,39.0,19.98,36.12,38.030388,-78.484,3,2020-02-03 02:37:25.768777227+00:00
8,741.0,32.0,38.0,19.58,38.24,38.030388,-78.484,3,2020-02-03 02:52:25.722880774+00:00
9,739.0,1.0,1.0,19.32,38.33,38.030388,-78.484,3,2020-02-03 03:07:25.842269487+00:00
10,716.0,5.0,5.0,19.62,36.98,38.030388,-78.484,3,2020-02-03 03:22:25.713143034+00:00
11,711.0,0.0,0.0,19.54,37.74,38.030388,-78.484,3,2020-02-03 03:37:25.641028854+00:00
12,698.0,1.0,1.0,19.13,37.7,38.030388,-78.484,3,2020-02-03 03:52:25.690552058+00:00
13,685.0,4.0,4.0,19.02,38.73,38.030388,-78.484,3,2020-02-03 04:07:25.633555747+00:00
14,675.0,3.0,3.0,18.52,37.78,38.030388,-78.484,3,2020-02-03 04:22:25.680342887+00:00
15,654.0,0.0,0.0,17.58,37.45,38.030388,-78.484,3,2020-02-03 04:37:25.621635690+00:00
16,646.0,1.0,1.0,17.65,37.44,38.030388,-78.484,3,2020-02-03 04:52:25.756646828+00:00
17,647.0,1.0,1.0,17.74,39.33,38.030388,-78.484,3,2020-02-03 05:07:26.699267723+00:00
18,647.0,0.0,0.0,17.93,39.85,38.030388,-78.484,3,2020-02-03 05:22:25.561604899+00:00
19,634.0,,,18.12,38.49,38.030388,-78.484,3,2020-02-03 05:37:25.616672727+00:00
20,627.0,1.0,1.0,18.0,39.44,38.030388,-78.484,3,2020-02-03 05:52:25.571579097+00:00
21,622.0,1.0,1.0,18.0,39.63,38.030388,-78.484,3,2020-02-03 06:07:25.587205707+00:00
22,626.0,,,17.97,39.68,38.030388,-78.484,3,2020-02-03 06:22:25.544575280+00:00
23,622.0,,,18.4,42.27,38.030388,-78.484,3,2020-02-03 06:37:25.481563178+00:00
24,617.0,0.0,0.0,18.34,40.61,38.030388,-78.484,3,2020-02-03 06:52:25.533998110+00:00
25,600.0,,,18.13,42.46,38.030388,-78.484,3,2020-02-03 07:07:26.476012667+00:00
26,601.0,,,18.02,41.1,38.030388,-78.484,3,2020-02-03 07:22:25.514015909+00:00
27,585.0,,,17.92,39.73,38.030388,-78.484,3,2020-02-03 07:37:25.461044692+00:00
28,574.0,,,17.95,39.85,38.030388,-78.484,3,2020-02-03 07:52:25.515746511+00:00
29,578.0,,,17.75,40.25,38.030388,-78.484,3,2020-02-03 08:07:25.451822489+00:00
30,574.0,,,17.89,40.61,38.030388,-78.484,3,2020-02-03 08:22:25.395012689+00:00
31,563.0,,,17.74,38.26,38.030388,-78.484,3,2020-02-03 08:37:25.444730205+00:00
32,558.0,,,17.74,39.32,38.030388,-78.484,3,2020-02-03 08:52:25.392024715+00:00
33,565.0,,,,40.1,38.030388,-78.484,3,2020-02-03 09:07:26.430432085+00:00
34,551.0,,,17.33,40.15,38.030388,-78.484,3,2020-02-03 09:22:25.383370138+00:00
35,551.0,,,16.96,39.49,38.030388,-78.484,3,2020-02-03 09:37:25.325177903+00:00
36,550.0,,,16.65,40.42,38.030388,-78.484,3,2020-02-03 09:52:25.383821115+00:00
37,553.0,,,16.34,41.39,38.030388,-78.484,3,2020-02-03 10:07:25.331442809+00:00
38,571.0,,,17.24,41.43,38.030388,-78.484,3,2020-02-03 10:22:25.370922958+00:00
39,582.0,,,17.64,40.74,38.030388,-78.484,3,2020-02-03 10:37:25.306417260+00:00
40,570.0,,,17.48,41.52,38.030388,-78.484,3,2020-02-03 10:52:25.356005441+00:00
41,572.0,,,17.55,41.66,38.030388,-78.484,3,2020-02-03 11:07:26.306668410+00:00
42,564.0,,,17.37,41.51,38.030388,-78.484,3,2020-02-03 11:22:25.245154430+00:00
43,559.0,,,16.72,40.14,38.030388,-78.484,3,2020-02-03 11:37:25.289777306+00:00
44,559.0,,,16.73,39.68,38.030388,-78.484,3,2020-02-03 11:52:25.228399463+00:00
45,562.0,,,17.37,41.89,38.030388,-78.484,3,2020-02-03 12:07:25.282747040+00:00
46,576.0,,2.0,17.71,41.81,38.030388,-78.484,3,2020-02-03 12:22:25.280077831+00:00
47,620.0,,1.0,18.34,45.57,38.030388,-78.484,3,2020-02-03 12:37:25.221043338+00:00
48,609.0,,0.0,22.19,37.04,38.030693,-78.47908,3,2020-02-03 19:01:21.804981497+00:00
49,582.0,1.0,1.0,22.05,37.2,38.030693,-78.47908,3,2020-02-03 19:16:20.897065165+00:00
50,565.0,1.0,1.0,22.09,37.25,38.030693,-78.47908,3,2020-02-03 19:31:20.558677961+00:00
51,550.0,,,22.01,37.4,38.030693,-78.47908,3,2020-02-03 19:46:20.601477556+00:00
52,540.0,0.0,0.0,21.85,37.62,38.030693,-78.47908,3,2020-02-03 20:01:20.800150447+00:00
53,539.0,,,21.82,37.81,38.030693,-78.47908,3,2020-02-03 20:16:20.570731982+00:00
54,530.0,,,21.73,37.89,38.030693,-78.47908,3,2020-02-03 20:31:21.521806297+00:00
55,535.0,,,21.65,38.11,38.030693,-78.47908,3,2020-02-03 20:46:20.480945684+00:00
56,544.0,,,21.56,38.28,38.030693,-78.47908,3,2020-02-03 21:01:20.387380476+00:00
57,533.0,,,21.44,36.32,38.030693,-78.47908,3,2020-02-03 21:16:20.386218352+00:00
58,494.0,,,21.16,36.95,38.030693,-78.47908,3,2020-02-03 21:31:20.468149588+00:00
59,484.0,,,20.97,36.99,38.030693,-78.47908,3,2020-02-03 21:46:20.474085751+00:00
60,476.0,,,20.78,36.83,38.030693,-78.47908,3,2020-02-03 22:01:20.386675079+00:00
61,467.0,,,20.52,36.32,38.030693,-78.47908,3,2020-02-03 22:16:20.391442111+00:00
62,459.0,,,20.33,36.39,38.030693,-78.47908,3,2020-02-03 22:31:21.299660437+00:00
63,449.0,,,20.05,36.92,38.030693,-78.47908,3,2020-02-03 22:46:20.296281979+00:00
64,445.0,,,19.84,37.24,38.030693,-78.47908,3,2020-02-03 23:01:20.304042943+00:00
65,447.0,,,19.68,37.24,38.030693,-78.47908,3,2020-02-03 23:16:20.301398458+00:00
66,450.0,,,19.58,,38.030693,-78.47908,3,2020-02-03 23:31:20.309245817+00:00
