date, pm10, o3, no2
2020/3/2, 9, 21, 26
2020/3/3, 16, 13, 27
2020/3/4, 15, 20, 29
2020/3/5, 27, 24, 25
2020/3/6, 28, 20, 26
2020/3/7, 23, 20, 19
2020/3/8, 28, 20, 20
2020/3/9, 25, 16, 29
2020/3/10, 22, 17, 20
2020/3/11, 14, 24, 21
2020/3/12, 15, 27, 18
2020/3/13, 13, 26, 18
2020/3/14, 13, 29, 24
2020/3/15, 20, 30, 14
2020/3/16, 15, 26, 33
2020/3/17, 36, 24, 32
2020/3/18, 34, 28, 27
2020/3/19, 34, 22, 21
2020/3/20, 29, 26, 16
2020/3/21, 19, 29, 9
2020/3/22, 10, 31, 10
2020/3/23, 10, 30, 22
2020/3/24, 20, 35, 24
2020/3/25, 30, 38, 22
2020/3/26, 36, 37, 16
2020/3/27, 40, 24, 15
2020/3/28, 48, , 
2020/2/2, 9, 25, 16
2020/2/3, 13, 18, 25
2020/2/4, 12, 21, 21
2020/2/5, 13, 20, 20
2020/2/6, 12, 13, 24
2020/2/7, 19, 12, 28
2020/2/8, 26, 16, 22
2020/2/9, 27, 25, 12
2020/2/10, 21, 27, 19
2020/2/11, 10, 26, 16
2020/2/12, 16, 25, 17
2020/2/13, 17, 20, 23
2020/2/14, 20, 9, 27
2020/2/15, 27, 16, 22
2020/2/16, 23, 22, 12
2020/2/17, 10, 32, 17
2020/2/18, 52, 24, 20
2020/2/19, 27, 22, 20
2020/2/20, 13, 17, 22
2020/2/21, 19, 24, 20
2020/2/22, 14, 27, 14
2020/2/23, 11, 28, 15
2020/2/24, 9, 24, 20
2020/2/25, 14, 24, 23
2020/2/26, 12, 20, 26
2020/2/27, 15, 20, 28
2020/2/28, 21, 22, 26
2020/2/29, 19, 24, 16
2020/3/1, 21, 27, 15
2020/1/2, 72, 4, 30
2020/1/3, 43, 11, 20
2020/1/4, 17, 23, 17
2020/1/5, 12, 17, 20
2020/1/6, 17, 17, 27
2020/1/7, 23, 6, 26
2020/1/8, 27, 10, 20
2020/1/9, 17, 4, 19
2020/1/10, 18, 16, 21
2020/1/11, 17, 21, 19
2020/1/12, 15, 18, 14
2020/1/13, 18, 17, 23
2020/1/14, 21, 12, 22
2020/1/15, 26, 15, 23
2020/1/16, 33, 16, 34
2020/1/17, 31, 15, 27
2020/1/18, 35, 18, 25
2020/1/19, 22, 16, 18
2020/1/20, 23, 14, 27
2020/1/21, 23, 11, 27
2020/1/22, 24, 12, 24
2020/1/23, 25, 13, 32
2020/1/24, 29, 5, 26
2020/1/25, 38, 8, 19
2020/1/26, 23, 10, 16
2020/1/27, 26, 10, 25
2020/1/28, 37, 22, 21
2020/1/29, 14, 22, 18
2020/1/30, 14, 21, 24
2020/1/31, 16, 19, 25
2020/2/1, 17, 18, 20
2019/10/2, 12, 19, 25
2019/10/3, 10, 13, 12
2019/10/4, 9, 12, 22
2019/10/5, 18, 17, 12
2019/10/6, 13, 22, 18
2019/10/7, 12, 14, 33
2019/10/8, 23, 10, 24
2019/10/9, 18, 17, 21
2019/10/10, 19, 18, 21
2019/10/11, 13, 14, 17
2019/10/12, 14, 21, 21
2019/10/13, 15, 23, 19
2019/10/14, 20, 21, 23
2019/10/15, 22, 18, 29
2019/10/16, 38, 14, 23
2019/10/17, 23, 13, 22
2019/10/18, 17, 18, 22
2019/10/19, 14, 16, 21
2019/10/20, 13, 14, 22
2019/10/21, 22, 4, 26
2019/10/22, 41, 8, 25
2019/10/23, 29, 12, 24
2019/10/24, 30, 12, 24
2019/10/25, 51, 14, 25
2019/10/26, 28, 19, 18
2019/10/27, 15, 20, 15
2019/10/28, 14, 17, 27
2019/10/29, 16, 14, 25
2019/10/30, 17, 12, 39
2019/10/31, 24, 12, 35
2019/11/1, 35, 10, 25
2019/11/2, 36, 7, 20
2019/11/3, 17, 7, 15
2019/11/4, 20, 7, 25
2019/11/5, 19, 9, 25
2019/11/6, 14, 8, 23
2019/11/7, 16, 4, 22
2019/11/8, 21, 5, 22
2019/11/9, 28, 6, 19
2019/11/10, 30, 6, 20
2019/11/11, 28, 7, 23
2019/11/12, 26, 6, 23
2019/11/13, 27, 4, 25
2019/11/14, 33, 9, 23
2019/11/15, 29, 14, 18
2019/11/16, 35, 4, 20
2019/11/17, 31, 4, 17
2019/11/18, 29, 4, 23
2019/11/19, 30, 13, 22
2019/11/20, 19, 5, 26
2019/11/21, 24, 2, 20
2019/11/22, 45, 2, 21
2019/11/23, 35, 6, 13
2019/11/24, 39, 5, 12
2019/11/25, 42, 2, 15
2019/11/26, 49, , 18
2019/11/27, 39, 3, 21
2019/11/28, 23, 18, 20
