Month,Day,Max_Temp,Avg_Temp,Min_Temp,Max_DewP,Avg_DewP,Min_DewP,Max_PctHum,Avg_PctHum,Min_PctHum,Max_WindMPH,Avg_WindMPH,Min_WindMPH,Max_Pres,Avg_Pres,Min_Pres,Total_Prec
Jan,1,65,58.5,47,56,44.2,36,90,61.1,43,16,8.4,0,29.5,29.3,29.1,0.16
Jan,2,48,45.1,42,39,35.9,33,82,70.6,56,12,3.3,0,29.6,29.5,29.3,0
Jan,3,53,45.8,39,42,38.4,34,85,75.5,61,8,2.7,0,29.4,29.3,29.2,0
Jan,4,46,42.7,37,43,38.9,34,93,86.4,79,8,3,0,29.4,29.2,28.9,0
Jan,5,60,48,45,44,39.8,31,93,76.6,38,12,3.1,0,29.2,28.9,28.8,0.27
Jan,6,63,51.8,43,37,30.2,24,68,45.7,25,8,5,0,29.6,29.4,29.2,0
Jan,7,43,39.4,36,30,25.6,23,70,58,47,8,4.4,0,29.8,29.6,29.5,0
Jan,8,64,50.4,39,46,37.4,31,76,62.2,40,17,8.6,3,29.5,29.2,29,0
Jan,9,53,42.3,32,30,18.7,11,48,39,33,14,8.2,0,29.3,29.2,29.1,0.02
Jan,10,36,30.9,29,10,9.4,8,45,40.7,34,15,9.2,0,29.5,29.4,29.3,0
Jan,11,42,33.1,28,14,11.4,9,51,41.4,28,12,5.1,0,29.7,29.6,29.5,0
Jan,12,35,31.3,30,27,22.9,13,86,72.7,42,8,1,0,29.8,29.8,29.7,0
Jan,13,32,30.7,30,27,26.3,25,88,83.8,79,13,6.9,0,29.7,29.6,29.5,0.28
Jan,14,36,32.3,29,27,23.3,21,82,69.9,57,9,2.7,0,29.6,29.5,29.5,0.06
Jan,15,43,35.5,29,27,24.5,22,89,65.5,43,6,1.3,0,29.6,29.5,29.4,0
Jan,16,48,36.2,24,29,24.3,18,81,63.3,46,6,2.8,0,29.6,29.5,29.4,0
Jan,17,37,33.5,28,31,27.4,23,92,78.9,62,6,0.7,0,29.6,29.5,29.4,0
Jan,18,46,32.1,0,37,28.8,0,93,79.7,0,7,0.9,0,29.5,29.4,29.3,0.1
Jan,19,39,36.7,36,35,33.4,32,93,88.3,79,9,2.9,0,29.5,29.3,28.9,0
Jan,20,50,36.2,21,40,26.1,-1,93,70.7,36,18,6.6,0,29.4,28.9,28.6,0.87
