OK,type,latitude,longitude,altitude (m),uid,status,alert?,hardware_address,gateway
sbox-test0,indoor,0,0,10,SDS,,,,
sbox-test1,indoor,0,0,10,SDS,,,,
sbox-test2,indoor,0,0,10,SDS,,,,
sbox0,indoor,0,0,10,SDS,,,,
sbox1,indoor,0,0,10,SDS,,,,
,,,,,,,,,
sbox2,outdoor,38.026,-78.501,10,Kevin,"OK
",,,sds-gateway-i1
sbox3,"outdoor
",38.019,-78.473,3,Lucas,OK,,,
sbox4,outdoor,38.045,-78.483,1,Angela,OK,,,tomorrow-today
sbox5,outdoor,38.035,-78.491,1,Eli,OK,,,a-school-02
sbox6,outdoor,38.027,-78.515,10,Alex,,,,sds-jimmy
sbox7,outdoor,38.025,-78.516,1,Lane,OK,,,
sbox8,outdoor,38.029,-78.484,10,LF-bkp,OK,,,sds-gateway-1
sbox9,outdoor,38.025,-78.469,20,Jon,OK,,,a-school-01
sbox10,outdoor,38.030,-78.479,10,CCI,OK,,,cci
sbox11,outdoor,38.029,-78.484,10,LF,OK,,,sds-gateway-1
